City,Temperature,timestamp
New York,24.9,2026-03-12T00:27:26.991775
Tokyo,26.3,2025-07-16T00:27:26.991797
London,14.5,2025-06-03T00:27:26.991800
Sydney,30.9,2025-12-22T00:27:26.991803
Tokyo,12.6,2025-10-18T00:27:26.991805
Paris,12.7,2025-04-11T00:27:26.991807
Tokyo,21.7,2025-06-29T00:27:26.991809
Sydney,32.6,2025-04-04T00:27:26.991811
New York,21.4,2025-07-11T00:27:26.991813
Paris,30.4,2025-05-07T00:27:26.991815
Sydney,10.6,2025-06-09T00:27:26.991817
Paris,33.6,2025-04-29T00:27:26.991819
London,26.6,2025-05-04T00:27:26.991821
London,27.9,2026-03-13T00:27:26.991823
New York,26.8,2025-09-21T00:27:26.991825
Paris,21.7,2026-02-09T00:27:26.991827
Paris,12.7,2025-09-23T00:27:26.991829
New York,15.4,2025-08-22T00:27:26.991831
London,14.2,2025-07-09T00:27:26.991833
Sydney,29.0,2025-06-09T00:27:26.991835
Paris,33.5,2026-01-06T00:27:26.991837
Sydney,26.1,2025-03-25T00:27:26.991838
New York,29.3,2026-01-28T00:27:26.991840
Paris,12.4,2025-10-13T00:27:26.991842
Tokyo,22.0,2026-02-24T00:27:26.991844
New York,19.9,2025-09-10T00:27:26.991846
Sydney,15.3,2025-05-25T00:27:26.991848
New York,20.5,2025-04-17T00:27:26.991850
Paris,13.5,2025-08-04T00:27:26.991852
New York,21.8,2025-05-29T00:27:26.991854
Sydney,18.6,2026-02-10T00:27:26.991856
Paris,16.2,2026-03-10T00:27:26.991858
London,18.9,2025-04-20T00:27:26.991860
London,33.9,2025-04-15T00:27:26.991862
Sydney,26.2,2025-10-21T00:27:26.991864
Tokyo,14.5,2025-11-15T00:27:26.991865
Tokyo,22.4,2025-08-01T00:27:26.991867
New York,25.3,2025-10-11T00:27:26.991869
Tokyo,20.8,2025-11-06T00:27:26.991871
New York,31.5,2026-01-16T00:27:26.991873
Sydney,19.9,2026-01-21T00:27:26.991875
Paris,26.3,2025-03-21T00:27:26.991877
New York,34.9,2025-11-26T00:27:26.991879
Tokyo,11.2,2025-10-03T00:27:26.991881
Tokyo,29.9,2025-04-21T00:27:26.991883
London,10.2,2025-10-28T00:27:26.991885
New York,14.7,2025-06-29T00:27:26.991887
